STRUCTURE,STRUCTURE_ID,ACTION,FREQ_ID,FREQ_NAME,REF_AREA_ID,REF_AREA_NAME,INDICATOR_ID,INDICATOR_NAME,SEX_ID,SEX_NAME,AGE_ID,AGE_NAME,URBANISATION_ID,URBANISATION_NAME,UNIT_MEASURE_ID,UNIT_MEASURE_NAME,COMP_BREAKDOWN_1_ID,COMP_BREAKDOWN_1_NAME,COMP_BREAKDOWN_2_ID,COMP_BREAKDOWN_2_NAME,COMP_BREAKDOWN_3_ID,COMP_BREAKDOWN_3_NAME,TIME_PERIOD,OBS_VALUE,DATABASE_ID_ID,DATABASE_ID_NAME,UNIT_MULT_ID,UNIT_MULT_NAME,UNIT_TYPE_ID,UNIT_TYPE_NAME,TIME_FORMAT_ID,TIME_FORMAT_NAME,COMMENT_OBS,OBS_STATUS_ID,OBS_STATUS_NAME,OBS_CONF_ID,OBS_CONF_NAME
datastructure,WB.DATA360:DS_DATA360(1.1),I,A,Annual,ALB,Albania,WB_SHP_MEANB40,Mean consumption or income per capita of bottom 40 percent population (2017 PPP $ per day),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,USD,US dollars,WB_SHP_PERIOD_1,Period: 2008-2012,WB_PIP_C,Welfare type: Consumption,_Z,Not Applicable,2008,5.506383,WB_SHP,Global Database Of Shared Prosperity,0,Units,CUR,Currency,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.1),I,A,Annual,ALB,Albania,WB_SHP_MEANB40,Mean consumption or income per capita of bottom 40 percent population (2017 PPP $ per day),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,USD,US dollars,WB_SHP_PERIOD_1,Period: 2008-2012,WB_PIP_C,Welfare type: Consumption,_Z,Not Applicable,2012,5.2405,WB_SHP,Global Database Of Shared Prosperity,0,Units,CUR,Currency,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.1),I,A,Annual,ALB,Albania,WB_SHP_MEANB40,Mean consumption or income per capita of bottom 40 percent population (2017 PPP $ per day),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,USD,US dollars,WB_SHP_PERIOD_2,Period: 2014-2017,WB_PIP_C,Welfare type: Consumption,_Z,Not Applicable,2014,4.705206,WB_SHP,Global Database Of Shared Prosperity,0,Units,CUR,Currency,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.1),I,A,Annual,ALB,Albania,WB_SHP_MEANB40,Mean consumption or income per capita of bottom 40 percent population (2017 PPP $ per day),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,USD,US dollars,WB_SHP_PERIOD_2,Period: 2014-2017,WB_PIP_C,Welfare type: Consumption,_Z,Not Applicable,2017,6.061444,WB_SHP,Global Database Of Shared Prosperity,0,Units,CUR,Currency,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.1),I,A,Annual,ARE,United Arab Emirates,WB_SHP_MEANB40,Mean consumption or income per capita of bottom 40 percent population (2017 PPP $ per day),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,USD,US dollars,WB_SHP_PERIOD_3,Period: 2013-2018,WB_PIP_I,Welfare type: Income,_Z,Not Applicable,2013,33.07196596348482,WB_SHP,Global Database Of Shared Prosperity,0,Units,CUR,Currency,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.1),I,A,Annual,ARE,United Arab Emirates,WB_SHP_MEANB40,Mean consumption or income per capita of bottom 40 percent population (2017 PPP $ per day),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,USD,US dollars,WB_SHP_PERIOD_3,Period: 2013-2018,WB_PIP_I,Welfare type: Income,_Z,Not Applicable,2018,45.235069680697045,WB_SHP,Global Database Of Shared Prosperity,0,Units,CUR,Currency,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.1),I,A,Annual,ARG,Argentina,WB_SHP_MEANB40,Mean consumption or income per capita of bottom 40 percent population (2017 PPP $ per day),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,USD,US dollars,WB_SHP_PERIOD_4,Period: 2006-2011,WB_PIP_I,Welfare type: Income,_Z,Not Applicable,2006,7.63905,WB_SHP,Global Database Of Shared Prosperity,0,Units,CUR,Currency,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.1),I,A,Annual,ARG,Argentina,WB_SHP_MEANB40,Mean consumption or income per capita of bottom 40 percent population (2017 PPP $ per day),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,USD,US dollars,WB_SHP_PERIOD_4,Period: 2006-2011,WB_PIP_I,Welfare type: Income,_Z,Not Applicable,2011,10.4366,WB_SHP,Global Database Of Shared Prosperity,0,Units,CUR,Currency,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.1),I,A,Annual,ARG,Argentina,WB_SHP_MEANB40,Mean consumption or income per capita of bottom 40 percent population (2017 PPP $ per day),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,USD,US dollars,WB_SHP_PERIOD_5,Period: 2007-2012,WB_PIP_I,Welfare type: Income,_Z,Not Applicable,2007,7.945608,WB_SHP,Global Database Of Shared Prosperity,0,Units,CUR,Currency,602,CCYY,,A,Normal value,PU,Public
datastructure,WB.DATA360:DS_DATA360(1.1),I,A,Annual,ARG,Argentina,WB_SHP_MEANB40,Mean consumption or income per capita of bottom 40 percent population (2017 PPP $ per day),_T,Total,_T,All age ranges or no breakdown by age,_T,Total,USD,US dollars,WB_SHP_PERIOD_5,Period: 2007-2012,WB_PIP_I,Welfare type: Income,_Z,Not Applicable,2012,10.70276,WB_SHP,Global Database Of Shared Prosperity,0,Units,CUR,Currency,602,CCYY,,A,Normal value,PU,Public
